Time,Arb
'0:0:47.35,840
'0:0:47.4,858
'0:0:47.45,875
'0:0:47.5,893
'0:0:47.55,908
'0:0:47.6,924
'0:0:47.65,937
'0:0:47.7,951
'0:0:47.75,964
'0:0:47.8,977
'0:0:47.85,989
'0:0:47.9,1002
'0:0:47.95,1013
'0:0:48.0,1023
'0:0:48.05,1031
'0:0:48.1,1037
'0:0:48.15,1036
'0:0:48.2,1031
'0:0:48.25,1030
'0:0:48.3,1034
'0:0:48.35,1042
'0:0:48.4,1053
'0:0:48.45,1059
'0:0:48.5,1065
'0:0:48.55,1070
'0:0:48.6,1077
'0:0:48.65,1084
'0:0:48.7,1091
'0:0:48.75,1098
'0:0:48.8,1105
'0:0:48.85,1113
'0:0:48.9,1124
'0:0:48.95,1134
'0:0:49.0,1140
'0:0:49.05,1139
'0:0:49.1,1132
'0:0:49.15,1120
'0:0:49.2,1097
'0:0:49.25,1073
'0:0:49.3,1051
'0:0:49.35,1032
'0:0:49.4,1018
'0:0:49.45,1007
'0:0:49.5,997
'0:0:49.55,987
'0:0:49.6,975
'0:0:49.65,963
'0:0:49.7,950
'0:0:49.75,939
'0:0:49.8,928
'0:0:49.85,918
'0:0:49.9,908
'0:0:49.95,900
'0:0:50.0,891
'0:0:50.05,882
'0:0:50.1,869
'0:0:50.15,858
'0:0:50.2,842
'0:0:50.25,820
'0:0:50.3,801
'0:0:50.35,790
'0:0:50.4,784
'0:0:50.45,783
'0:0:50.5,780
'0:0:50.55,777
'0:0:50.6,775
'0:0:50.65,771
'0:0:50.7,766
'0:0:50.75,760
'0:0:50.8,753
'0:0:50.85,746
'0:0:50.9,740
'0:0:50.95,735
'0:0:51.0,733
'0:0:51.05,732
'0:0:51.1,728
'0:0:51.15,722
'0:0:51.2,718
'0:0:51.25,709
'0:0:51.3,694
'0:0:51.35,683
'0:0:51.4,676
'0:0:51.45,675
'0:0:51.5,678
'0:0:51.55,683
'0:0:51.6,690
'0:0:51.65,699
'0:0:51.7,711
'0:0:51.75,724
'0:0:51.8,739
'0:0:51.85,754
'0:0:51.9,772
'0:0:51.95,791
'0:0:52.0,811
'0:0:52.05,830
'0:0:52.1,849
'0:0:52.15,866
'0:0:52.2,882
'0:0:52.25,897
'0:0:52.3,911
'0:0:52.35,915
'0:0:52.4,915
'0:0:52.45,920
'0:0:52.5,931
'0:0:52.55,944
'0:0:52.6,959
'0:0:52.65,969
'0:0:52.7,979
'0:0:52.75,986
'0:0:52.8,992
'0:0:52.85,999
'0:0:52.9,1008
'0:0:52.95,1015
'0:0:53.0,1024
'0:0:53.05,1037
'0:0:53.1,1049
'0:0:53.15,1058
'0:0:53.2,1066
'0:0:53.25,1074
'0:0:53.3,1082
'0:0:53.35,1087
'0:0:53.4,1087
'0:0:53.45,1079
'0:0:53.5,1067
'0:0:53.55,1059
'0:0:53.6,1052
'0:0:53.65,1048
'0:0:53.7,1042
'0:0:53.75,1036
'0:0:53.8,1029
'0:0:53.85,1019
'0:0:53.9,1008
'0:0:53.95,998
'0:0:54.0,987
'0:0:54.05,978
'0:0:54.1,972
'0:0:54.15,969
'0:0:54.2,967
'0:0:54.25,961
'0:0:54.3,950
'0:0:54.35,938
'0:0:54.4,925
'0:0:54.45,911
'0:0:54.5,890
'0:0:54.55,865
'0:0:54.6,842
'0:0:54.65,829
'0:0:54.7,821
'0:0:54.75,816
'0:0:54.8,807
'0:0:54.85,799
'0:0:54.9,791
'0:0:54.95,783
'0:0:55.0,776
'0:0:55.05,769
'0:0:55.1,761
'0:0:55.15,754
'0:0:55.2,748
'0:0:55.25,742
'0:0:55.3,736
'0:0:55.35,731
'0:0:55.4,726
'0:0:55.45,720
'0:0:55.5,714
'0:0:55.55,710
'0:0:55.6,697
'0:0:55.65,683
'0:0:55.7,673
'0:0:55.75,668
'0:0:55.8,668
'0:0:55.85,670
'0:0:55.9,670
'0:0:55.95,672
'0:0:56.0,673
'0:0:56.05,674
'0:0:56.1,676
'0:0:56.15,680
'0:0:56.2,691
'0:0:56.25,706
'0:0:56.3,727
'0:0:56.35,747
'0:0:56.4,769
'0:0:56.45,789
'0:0:56.5,811
'0:0:56.55,829
'0:0:56.6,847
'0:0:56.65,859
'0:0:56.7,861
'0:0:56.75,863
'0:0:56.8,873
'0:0:56.85,887
'0:0:56.9,905
'0:0:56.95,918
'0:0:57.0,930
'0:0:57.05,941
'0:0:57.1,953
'0:0:57.15,963
'0:0:57.2,976
'0:0:57.25,988
'0:0:57.3,1002
'0:0:57.35,1013
'0:0:57.4,1022
'0:0:57.45,1028
'0:0:57.5,1034
'0:0:57.55,1037
'0:0:57.6,1042
'0:0:57.65,1047
'0:0:57.7,1048
'0:0:57.75,1043
'0:0:57.8,1036
'0:0:57.85,1036
'0:0:57.9,1041
'0:0:57.95,1050
'0:0:58.0,1057
'0:0:58.05,1062
'0:0:58.1,1067
'0:0:58.15,1070
'0:0:58.2,1071
'0:0:58.25,1071
'0:0:58.3,1067
'0:0:58.35,1061
'0:0:58.4,1053
'0:0:58.45,1046
'0:0:58.5,1039
